Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-13,194.62952269085886,199.96513376114498,189.77459703826779,193.66815185546875,22421,0.0,0
2017-06-14,194.38917191292768,195.4947571293464,189.39004671028343,193.0432586669922,20874,0.0,0
2017-06-15,192.27416530383042,192.4183650600664,189.48619577466673,190.59176635742188,18186,0.0,0
2017-06-16,189.34197284971518,196.1196398063038,188.04413109378584,193.86041259765625,16861,0.0,0
2017-06-19,196.11965154446779,196.11965154446779,188.38061334131757,189.19778442382812,22327,0.0,0
2017-06-20,189.63039893356427,195.54282375500566,188.42868537885218,189.5342559814453,38259,0.0,0
2017-06-21,188.81322880598216,188.81322880598216,184.58320293968958,186.55401611328125,32154,0.0,0
2017-06-22,186.7462830878727,188.0921963775209,183.4295566696038,184.29478454589844,20382,0.0,0
2017-06-23,186.26557984983984,186.26557984983984,179.05529933952346,180.30508422851562,32343,0.0,0
2017-06-27,179.53598901250294,180.16087413730835,175.35402034848633,175.6905059814453,19993,0.0,0
2017-06-28,175.93086585024972,177.85360755353113,173.2390245317847,177.2767791748047,30736,0.0,0
2017-06-29,179.48791532487903,183.3814697796278,178.3823448348402,180.40121459960938,22842,0.0,0
2017-06-30,180.3050788804769,187.46728770774854,179.7763220581999,181.60292053222656,49334,0.0,0
2017-07-03,183.28533011366702,183.62181574848685,180.0166753869328,182.32395935058594,57661,0.0,0
2017-07-04,183.0449835209973,183.0449835209973,178.3342727500579,181.55487060546875,47033,0.0,0
2017-07-05,182.42008640601517,182.66042907585182,180.83383065283425,181.9874725341797,33354,0.0,0
2017-07-06,183.62181092712953,183.62181092712953,180.7376987136144,182.13168334960938,52763,0.0,0
2017-07-07,181.69907395240566,185.54455699901743,180.1608748660195,181.41065979003906,25446,0.0,0
2017-07-10,187.46729852232332,187.46729852232332,176.89222014414096,181.41065979003906,120850,0.0,0
2017-07-11,181.41065797253276,182.66044288403106,178.76688840447443,182.2278289794922,45763,0.0,0
2017-07-12,181.60292740711543,182.6604410917035,179.1033722779989,181.55487060546875,57996,0.0,0
2017-07-13,182.61238554167844,185.73684072749333,179.5840733062459,181.891357421875,62039,0.0,0
2017-07-14,183.62181878640553,183.62181878640553,180.68963497662617,181.84327697753906,16340,0.0,0
2017-07-17,182.660452098693,182.660452098693,178.81496889661526,179.295654296875,90542,0.0,0
2017-07-18,179.53597909731099,184.43897555887423,178.38233718557632,182.17974853515625,36026,0.0,0
2017-07-19,183.04500350837105,183.04500350837105,168.2398983236333,176.02700805664062,2522764,0.0,0
2017-07-20,174.9695021856399,178.43044326144974,173.19096016930735,176.6519012451172,78426,0.0,0
2017-07-21,177.80551265188697,177.8535841220068,170.64330368462814,173.67161560058594,906061,0.0,0
2017-07-24,174.00812681428678,177.56519608601164,173.52744138109813,174.96949768066406,37648,0.0,0
2017-07-25,175.93087008763538,176.79609800720948,171.7969723921423,174.72915649414062,31906,0.0,0
2017-07-26,175.35403153976142,181.69908481369578,174.29653244034205,180.64157104492188,32258,0.0,0
2017-07-27,181.21837447102865,181.69905981445314,176.74800664492201,180.2570037841797,41237,0.0,0
2017-07-28,179.10337556105793,181.31453124341243,176.8922198787034,180.4973602294922,23854,0.0,0
2017-07-31,178.81498290999392,182.27592393083273,178.28622599439973,181.36260986328125,16381,0.0,0
2017-08-01,182.66043807998935,182.66043807998935,179.58405468830225,180.54542541503906,99763,0.0,0
2017-08-02,180.97887371606572,183.00152806282688,178.8599115936348,181.7012481689453,23990,0.35,0
2017-08-03,182.03833384751172,183.00149963506468,179.63041937862928,180.88253784179688,46463,0.0,0
2017-08-04,180.25647098372193,182.90517689540587,175.10354284631018,177.8485565185547,25531,0.0,0
2017-08-07,178.18568009617204,182.4717651375149,178.18568009617204,179.82305908203125,70206,0.0,0
2017-08-08,180.11197330212494,182.66435634990242,177.51142903336765,180.54539489746094,9965,0.0,0
2017-08-09,182.03833330998293,182.03833330998293,176.2593386017295,178.33013916015625,29565,0.0,0
2017-08-10,177.12618066294797,177.2706643476675,169.7579683412996,172.1177215576172,31128,0.0,0
