Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-13,328.0,328.0,328.0,328.0,0,0,0
2017-06-14,328.0,328.0,328.0,328.0,0,0,0
2017-06-15,328.0,328.0,328.0,328.0,0,0,0
2017-06-16,328.0,328.0,328.0,328.0,0,0,0
2017-06-19,328.0,328.0,328.0,328.0,0,0,0
2017-06-20,328.0,328.0,328.0,328.0,0,0,0
2017-06-21,328.0,328.0,328.0,328.0,0,0,0
2017-06-22,328.0,328.0,328.0,328.0,0,0,0
2017-06-23,328.0,328.0,328.0,328.0,0,0,0
2017-06-27,328.0,328.0,328.0,328.0,0,0,0
2017-06-28,328.0,328.0,328.0,328.0,0,0,0
2017-06-29,328.0,328.0,328.0,328.0,0,0,0
2017-06-30,328.0,328.0,328.0,328.0,0,0,0
2017-07-03,328.0,328.0,328.0,328.0,0,0,0
2017-07-04,328.0,328.0,328.0,328.0,0,0,0
2017-07-05,328.0,328.0,328.0,328.0,0,0,0
2017-07-06,328.0,328.0,328.0,328.0,0,0,0
2017-07-07,328.0,328.0,328.0,328.0,0,0,0
2017-07-10,328.0,328.0,328.0,328.0,0,0,0
2017-07-11,328.0,328.0,328.0,328.0,0,0,0
2017-07-12,328.0,328.0,328.0,328.0,0,0,0
2017-07-13,328.0,328.0,328.0,328.0,0,0,0
2017-07-14,328.0,328.0,328.0,328.0,0,0,0
2017-07-17,328.0,328.0,328.0,328.0,0,0,0
2017-07-18,328.0,328.0,328.0,328.0,0,0,0
2017-07-19,328.0,328.0,328.0,328.0,0,0,0
2017-07-20,328.0,328.0,328.0,328.0,0,0,0
2017-07-21,328.0,328.0,328.0,328.0,0,0,0
2017-07-24,328.0,328.0,328.0,328.0,0,0,0
2017-07-25,328.0,328.0,328.0,328.0,0,0,0
2017-07-26,328.0,328.0,328.0,328.0,0,0,0
2017-07-27,328.0,328.0,328.0,328.0,0,0,0
2017-07-28,328.0,328.0,328.0,328.0,0,0,0
2017-07-31,328.0,328.0,328.0,328.0,0,0,0
2017-08-01,328.0,328.0,328.0,328.0,0,0,0
2017-08-02,328.0,328.0,328.0,328.0,0,0,0
2017-08-03,328.0,328.0,328.0,328.0,0,0,0
2017-08-04,328.0,328.0,328.0,328.0,0,0,0
2017-08-07,328.0,328.0,328.0,328.0,0,0,0
2017-08-08,328.0,328.0,328.0,328.0,0,0,0
2017-08-09,328.0,328.0,328.0,328.0,0,0,0
2017-08-10,328.0,328.0,328.0,328.0,0,0,0
2017-08-11,328.0,328.0,328.0,328.0,0,0,0
2017-08-14,328.0,328.0,328.0,328.0,0,0,0
2017-08-16,328.0,328.0,328.0,328.0,0,0,0
2017-08-17,328.0,328.0,328.0,328.0,0,0,0
2017-08-18,328.0,328.0,328.0,328.0,0,0,0
2017-08-21,328.0,328.0,328.0,328.0,0,0,0
2017-08-22,328.0,328.0,328.0,328.0,0,0,0
2017-08-23,328.0,328.0,328.0,328.0,0,0,0
2017-08-24,328.0,328.0,328.0,328.0,0,0,0
2017-08-28,328.0,328.0,328.0,328.0,0,0,0
2017-08-29,328.0,328.0,328.0,328.0,0,0,0
2017-08-30,328.0,328.0,328.0,328.0,0,0,0
2017-08-31,328.0,328.0,328.0,328.0,0,0,0
2017-09-01,328.0,328.0,328.0,328.0,0,0,0
2017-09-04,328.0,328.0,328.0,328.0,0,0,0
2017-09-05,328.0,328.0,328.0,328.0,0,0,0
2017-09-06,328.0,328.0,328.0,328.0,0,0,0
2017-09-07,328.0,328.0,328.0,328.0,0,0,0
2017-09-08,328.0,328.0,328.0,328.0,0,0,0
2017-09-11,328.0,328.0,328.0,328.0,0,0,0
2017-09-12,328.0,328.0,328.0,328.0,0,0,0
2017-09-13,328.0,328.0,328.0,328.0,0,0,0
2017-09-14,328.0,328.0,328.0,328.0,0,0,0
2017-09-15,328.0,328.0,328.0,328.0,0,0,0
2017-09-18,328.0,328.0,328.0,328.0,0,0,0
2017-09-19,328.0,328.0,328.0,328.0,0,0,0
2017-09-20,328.0,328.0,328.0,328.0,0,0,0
2017-09-21,328.0,328.0,328.0,328.0,0,0,0
2017-09-22,328.0,328.0,328.0,328.0,0,0,0
2017-09-25,328.0,328.0,328.0,328.0,0,0,0
2017-09-26,328.0,328.0,328.0,328.0,0,0,0
2017-09-27,328.0,328.0,328.0,328.0,0,0,0
2017-09-28,328.0,328.0,328.0,328.0,0,0,0
2017-09-29,328.0,328.0,328.0,328.0,0,0,0
2017-10-03,328.0,328.0,328.0,328.0,0,0,0
2017-10-04,328.0,328.0,328.0,328.0,0,0,0
2017-10-05,328.0,328.0,328.0,328.0,0,0,0
2017-10-06,328.0,328.0,328.0,328.0,0,0,0
2017-10-09,328.0,328.0,328.0,328.0,0,0,0
2017-10-10,328.0,328.0,328.0,328.0,0,0,0
2017-10-11,328.0,328.0,328.0,328.0,0,0,0
2017-10-12,328.0,328.0,328.0,328.0,0,0,0
2017-10-13,328.0,328.0,328.0,328.0,0,0,0
2017-10-16,328.0,328.0,328.0,328.0,0,0,0
2017-10-17,328.0,328.0,328.0,328.0,0,0,0
2017-10-18,328.0,328.0,328.0,328.0,0,0,0
2017-10-19,328.0,328.0,328.0,328.0,0,0,0
2017-10-23,328.0,328.0,328.0,328.0,0,0,0
2017-10-24,328.0,328.0,328.0,328.0,0,0,0
2017-10-25,328.0,328.0,328.0,328.0,0,0,0
2017-10-26,328.0,328.0,328.0,328.0,0,0,0
2017-10-27,328.0,328.0,328.0,328.0,0,0,0
2017-10-30,328.0,328.0,328.0,328.0,0,0,0
2017-10-31,328.0,328.0,328.0,328.0,0,0,0
2017-11-01,328.0,328.0,328.0,328.0,0,0,0
2017-11-02,328.0,328.0,328.0,328.0,0,0,0
2017-11-03,328.0,328.0,328.0,328.0,0,0,0
2017-11-06,328.0,328.0,328.0,328.0,0,0,0
2017-11-07,328.0,328.0,328.0,328.0,0,0,0
2017-11-08,328.0,328.0,328.0,328.0,0,0,0
