token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
502933,KATRSPG,KATRSPG,,-1.0,1,,BSE,5.000000
541005,KANCOTEA,KANCOTEA,,-1.0,1,,BSE,5.000000
937871,DLSL2FEB22,DLSL2FEB22,,-1.0,1,,BSE,1.000000
505893,HINDHARD,HINDHARD,,-1.0,1,,BSE,5.000000
543131,UTMTFS2RQR,UTMTFS2RQR,,-1.0,1,,BSE,1.000000
936544,10MFL24,10MFL24,,-1.0,1,,BSE,1.000000
511714,NIMBSPROJ,NIMBSPROJ,,-1.0,1,,BSE,5.000000
937729,IML251021,IML251021,,-1.0,1,,BSE,1.000000
937083,0EFIL23,0EFIL23,,-1.0,1,,BSE,1.000000
937197,10KFL23A,10KFL23A,,-1.0,1,,BSE,1.000000
532430,BFUTILITIE,BFUTILITIE,,-1.0,1,,BSE,5.000000
800401,GS15DEC31C,GS15DEC31C,,-1.0,100,,BSE,5.000000
937503,970EFSL31,970EFSL31,,-1.0,1,,BSE,1.000000
540724,DIAMONDYD,DIAMONDYD,,-1.0,1,,BSE,5.000000
503675,WAGEND,WAGEND,,-1.0,1,,BSE,1.000000
542841,NIEHSPE,NIEHSPE,,-1.0,1,,BSE,1.000000
810756,724TAMIL51,724TAMIL51,,-1.0,10,,BSE,5.000000
514460,OSWAYRN,OSWAYRN,,-1.0,1,,BSE,1.000000
972819,1015IFCI18,1015IFCI18,,-1.0,1,,BSE,1.000000
511096,TVOLCON,TVOLCON,,-1.0,1,,BSE,1.000000
937023,975MFL24BB,975MFL24BB,,-1.0,1,,BSE,1.000000
954004,890KFC23,890KFC23,,-1.0,1,,BSE,1.000000
957905,890IFSL28,890IFSL28,,-1.0,1000,,BSE,1.000000
532702,GSPL,GSPL,,-1.0,1,,BSE,5.000000
954823,980IREL22,980IREL22,,-1.0,1,,BSE,1.000000
953154,981ECL25,981ECL25,,-1.0,1,,BSE,1.000000
721581,TRIL24921,TRIL24921,,-1.0,1,,BSE,1.000000
953946,9SHFL23A,9SHFL23A,,-1.0,1,,BSE,1.000000
541083,INFLAME,INFLAME,,-1.0,500,,BSE,5.000000
540136,HPL,HPL,,-1.0,1,,BSE,5.000000
953726,880BFL26,880BFL26,,-1.0,1,,BSE,1.000000
959481,825TSL23,825TSL23,,-1.0,1,,BSE,1.000000
810656,633TNSDL30,633TNSDL30,,-1.0,10,,BSE,5.000000
538423,ALPSMOTOR,ALPSMOTOR,,-1.0,1,,BSE,1.000000
502986,VTL,VTL,,-1.0,1,,BSE,5.000000
543293,SFMP44GR,SFMP44GR,,-1.0,1,,BSE,1.000000
533048,GISOLUTION,GISOLUTION,,-1.0,1,,BSE,1.000000
973408,715PFC36,715PFC36,,-1.0,1,,BSE,1.000000
508486,HAWKINCOOK,HAWKINCOOK,,-1.0,1,,BSE,5.000000
530171,DAULAT,DAULAT,,-1.0,1,,BSE,5.000000
540416,OCTAWARE,OCTAWARE,,-1.0,1600,,BSE,5.000000
500840,EIHOTEL,EIHOTEL,,-1.0,1,,BSE,5.000000
533206,SJVN,SJVN,,-1.0,1,,BSE,5.000000
936957,0MHFL24,0MHFL24,,-1.0,1,,BSE,1.000000
