token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
12487,JPYINR23MAR59.25CE,JPYINR,2023-03-29,592500000.0,1,OPTCUR,CDS,25000.000000
12718,JPYINR22JUN64.75CE,JPYINR,2022-06-28,647500000.0,1,OPTCUR,CDS,25000.000000
13683,USDJPY22DEC106PE,USDJPY,2022-12-28,1060000000.0,1,OPTCUR,CDS,100000.000000
1414,EURINR2262478.75PE,EURINR,2022-06-24,787500000.0,1,OPTCUR,CDS,25000.000000
4398,EURINR2261782.25PE,EURINR,2022-06-17,822500000.0,1,OPTCUR,CDS,25000.000000
13891,JPYINR2271561.75CE,JPYINR,2022-07-15,617500000.0,1,OPTCUR,CDS,25000.000000
9837,JPYINR2272966.25PE,JPYINR,2022-07-29,662500000.0,1,OPTCUR,CDS,25000.000000
11263,585GS203022JUL95.5CE,585GS2030,2022-07-28,955000000.0,1,OPTIRC,CDS,25000.000000
12638,USDINR23MAR78.75PE,USDINR,2023-03-29,787500000.0,1,OPTCUR,CDS,25000.000000
6282,EURUSD22DEC.985CE,EURUSD,2022-12-28,9850000.0,1,OPTCUR,CDS,1000.000000
4634,GBPUSD22SEP1.46PE,GBPUSD,2022-09-28,14600000.0,1,OPTCUR,CDS,1000.000000
15004,USDJPY22JUL119.5PE,USDJPY,2022-07-27,1195000000.0,1,OPTCUR,CDS,100000.000000
9639,USDINR2272282PE,USDINR,2022-07-22,820000000.0,1,OPTCUR,CDS,25000.000000
14627,GBPINR22JUL98.25CE,GBPINR,2022-07-27,982500000.0,1,OPTCUR,CDS,25000.000000
6550,USDINR2281974.25CE,USDINR,2022-08-19,742500000.0,1,OPTCUR,CDS,25000.000000
9875,JPYINR2280558.75PE,JPYINR,2022-08-05,587500000.0,1,OPTCUR,CDS,25000.000000
13142,USDJPY23MAR134.5CE,USDJPY,2023-03-29,1345000000.0,1,OPTCUR,CDS,100000.000000
6199,JPYINR2272264PE,JPYINR,2022-07-22,640000000.0,1,OPTCUR,CDS,25000.000000
8870,JPYINR2270860.25PE,JPYINR,2022-07-08,602500000.0,1,OPTCUR,CDS,25000.000000
3114,EURUSD22AUG.965PE,EURUSD,2022-08-26,9650000.0,1,OPTCUR,CDS,1000.000000
15106,585GS203022AUG91CE,585GS2030,2022-08-25,910000000.0,1,OPTIRC,CDS,25000.000000
11821,USDINR22SEP74.25PE,USDINR,2022-09-28,742500000.0,1,OPTCUR,CDS,25000.000000
14245,610GS203122JUN92CE,610GS2031,2022-06-30,920000000.0,1,OPTIRC,CDS,25000.000000
3404,GBPINR2271592.25PE,GBPINR,2022-07-15,922500000.0,1,OPTCUR,CDS,25000.000000
7776,JPYINR2261758.75PE,JPYINR,2022-06-17,587500000.0,1,OPTCUR,CDS,25000.000000
7872,EURUSD22JUL1.175PE,EURUSD,2022-07-27,11750000.0,1,OPTCUR,CDS,1000.000000
15144,EURINR22JUN75.5PE,EURINR,2022-06-28,755000000.0,1,OPTCUR,CDS,25000.000000
5606,EURUSD23MAR1.22CE,EURUSD,2023-03-29,12200000.0,1,OPTCUR,CDS,1000.000000
5022,GBPUSD22JUN1.255CE,GBPUSD,2022-06-28,12550000.0,1,OPTCUR,CDS,1000.000000
3297,EURUSD23MAR.935PE,EURUSD,2023-03-29,9350000.0,1,OPTCUR,CDS,1000.000000
5641,EURINR2262478.25CE,EURINR,2022-06-24,782500000.0,1,OPTCUR,CDS,25000.000000
15278,GBPINR2262490.5PE,GBPINR,2022-06-24,905000000.0,1,OPTCUR,CDS,25000.000000
6256,610GS203123MAR94.25CE,610GS2031,2023-03-30,942500000.0,1,OPTIRC,CDS,25000.000000
1006,GBPINR22624FUT,GBPINR,2022-06-24,-1.0,1,FUTCUR,CDS,25000.000000
2351,EURINR22AUG78.75PE,EURINR,2022-08-26,787500000.0,1,OPTCUR,CDS,25000.000000
9870,JPYINR2280558.25CE,JPYINR,2022-08-05,582500000.0,1,OPTCUR,CDS,25000.000000
12641,USDINR23MAR79CE,USDINR,2023-03-29,790000000.0,1,OPTCUR,CDS,25000.000000
7585,GBPINR22617106.5PE,GBPINR,2022-06-17,1065000000.0,1,OPTCUR,CDS,25000.000000
11623,USDJPY22SEP140CE,USDJPY,2022-09-28,1400000000.0,1,OPTCUR,CDS,100000.000000
11316,JPYINR2270853.75PE,JPYINR,2022-07-08,537500000.0,1,OPTCUR,CDS,25000.000000
5178,GBPUSD22DEC1.405CE,GBPUSD,2022-12-28,14050000.0,1,OPTCUR,CDS,1000.000000
12458,JPYINR22SEP58.5PE,JPYINR,2022-09-28,585000000.0,1,OPTCUR,CDS,25000.000000
3535,GBPUSD22SEP1.16CE,GBPUSD,2022-09-28,11600000.0,1,OPTCUR,CDS,1000.000000
5613,GBPINR2261794.75PE,GBPINR,2022-06-17,947500000.0,1,OPTCUR,CDS,25000.000000
10458,GBPINR22812101.25CE,GBPINR,2022-08-12,1012500000.0,1,OPTCUR,CDS,25000.000000
14947,USDINR22JUL77.75CE,USDINR,2022-07-27,777500000.0,1,OPTCUR,CDS,25000.000000
6358,GBPINR22819102.25CE,GBPINR,2022-08-19,1022500000.0,1,OPTCUR,CDS,25000.000000
6280,EURUSD22DEC.98CE,EURUSD,2022-12-28,9800000.0,1,OPTCUR,CDS,1000.000000
12437,JPYINR22SEP55.75CE,JPYINR,2022-09-28,557500000.0,1,OPTCUR,CDS,25000.000000
10863,USDINR2281281PE,USDINR,2022-08-12,810000000.0,1,OPTCUR,CDS,25000.000000
4332,USDINR2262472.25PE,USDINR,2022-06-24,722500000.0,1,OPTCUR,CDS,25000.000000
2721,EURINR2272976.25PE,EURINR,2022-07-29,762500000.0,1,OPTCUR,CDS,25000.000000
12757,JPYINR22JUN69.5PE,JPYINR,2022-06-28,695000000.0,1,OPTCUR,CDS,25000.000000
13831,EURINR22DEC78.5PE,EURINR,2022-12-28,785000000.0,1,OPTCUR,CDS,25000.000000
6787,GBPINR2261799CE,GBPINR,2022-06-17,990000000.0,1,OPTCUR,CDS,25000.000000
7405,EURUSD22JUN1.295PE,EURUSD,2022-06-28,12950000.0,1,OPTCUR,CDS,1000.000000
5829,GBPINR23MAR95.75PE,GBPINR,2023-03-29,957500000.0,1,OPTCUR,CDS,25000.000000
4595,GBPUSD22SEP1.435CE,GBPUSD,2022-09-28,14350000.0,1,OPTCUR,CDS,1000.000000
9139,GBPINR2290298.75PE,GBPINR,2022-09-02,987500000.0,1,OPTCUR,CDS,25000.000000
11380,JPYINR2261764CE,JPYINR,2022-06-17,640000000.0,1,OPTCUR,CDS,25000.000000
12414,GBPINR2271597.25PE,GBPINR,2022-07-15,972500000.0,1,OPTCUR,CDS,25000.000000
2295,EURINR2262488.5PE,EURINR,2022-06-24,885000000.0,1,OPTCUR,CDS,25000.000000
7241,JPYINR22AUG57.25PE,JPYINR,2022-08-26,572500000.0,1,OPTCUR,CDS,25000.000000
8500,EURINR2270888.75CE,EURINR,2022-07-08,887500000.0,1,OPTCUR,CDS,25000.000000
2731,JPYINR22JUL52.5CE,JPYINR,2022-07-27,525000000.0,1,OPTCUR,CDS,25000.000000
4730,EURINR23MAR88CE,EURINR,2023-03-29,880000000.0,1,OPTCUR,CDS,25000.000000
5324,EURUSD22JUN1.09CE,EURUSD,2022-06-28,10900000.0,1,OPTCUR,CDS,1000.000000
