,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
11,11821,WELCORP-EQ,WELCORP,,-1.0,1,,NSE,5.0
13,14245,TVSSRICHAK-EQ,TVSSRICHAK,,-1.0,1,,NSE,5.0
16,5606,INTLCONV-EQ,INTLCONV,,-1.0,1,,NSE,5.0
19,15278,ONMOBILE-EQ,ONMOBILE,,-1.0,1,,NSE,5.0
22,13285,M&MFIN-EQ,M&MFIN,,-1.0,1,,NSE,5.0
23,13496,PFOCUS-EQ,PFOCUS,,-1.0,1,,NSE,5.0
28,7679,MONARCH-EQ,MONARCH,,-1.0,1,,NSE,5.0
30,20877,PSPPROJECT-EQ,PSPPROJECT,,-1.0,1,,NSE,5.0
31,14947,MOTILALOFS-EQ,MOTILALOFS,,-1.0,1,,NSE,5.0
32,6280,MEDICAMEQ-BL,MEDICAMEQ,,-1.0,1,,NSE,5.0
33,7145,ANANDRATHI-EQ,ANANDRATHI,,-1.0,1,,NSE,5.0
42,13710,FIEMIND-EQ,FIEMIND,,-1.0,1,,NSE,5.0
43,14043,SARLAPOLY-EQ,SARLAPOLY,,-1.0,1,,NSE,5.0
45,7376,HPAL-EQ,HPAL,,-1.0,1,,NSE,5.0
48,11319,LICNETFN50-EQ,LICNETFN50,,-1.0,1,,NSE,1.0
51,11355,PTC-EQ,PTC,,-1.0,1,,NSE,5.0
52,24781,BSLNIFTY-EQ,BSLNIFTY,,-1.0,1,,NSE,1.0
53,11549,TEXINFRA-EQ,TEXINFRA,,-1.0,1,,NSE,5.0
56,3136,BARBEQUE-BL,BARBEQUE,,-1.0,1,,NSE,5.0
60,19731,GPPL-EQ,GPPL,,-1.0,1,,NSE,5.0
68,19292,TERASOFT-EQ,TERASOFT,,-1.0,1,,NSE,5.0
72,2717,PRECWIRE-EQ,PRECWIRE,,-1.0,1,,NSE,5.0
80,21957,INDTERRAIN-EQ,INDTERRAIN,,-1.0,1,,NSE,5.0
81,17256,ALBERTDAVD-EQ,ALBERTDAVD,,-1.0,1,,NSE,5.0
82,18422,ASIANHOTNR-EQ,ASIANHOTNR,,-1.0,1,,NSE,5.0
86,5911,PARAS-EQ,PARAS,,-1.0,1,,NSE,5.0
89,13572,MANUGRAPH-EQ,MANUGRAPH,,-1.0,1,,NSE,5.0
92,1814,KALPATPOWR-EQ,KALPATPOWR,,-1.0,1,,NSE,5.0
93,10578,MPSLTD-EQ,MPSLTD,,-1.0,1,,NSE,5.0
96,381,SINTERCOM-EQ,SINTERCOM,,-1.0,1,,NSE,5.0
103,14086,IGPL-EQ,IGPL,,-1.0,1,,NSE,5.0
111,13061,IIFLWAM-EQ,IIFLWAM,,-1.0,1,,NSE,5.0
120,10406,STEELCITY-EQ,STEELCITY,,-1.0,1,,NSE,5.0
126,13367,SGL-EQ,SGL,,-1.0,1,,NSE,5.0
129,13376,UTTAMSUGAR-EQ,UTTAMSUGAR,,-1.0,1,,NSE,5.0
132,24391,DELPHIFX-EQ,DELPHIFX,,-1.0,1,,NSE,5.0
136,20072,INFRABEES-EQ,INFRABEES,,-1.0,1,,NSE,1.0
137,17641,SUNTECK-EQ,SUNTECK,,-1.0,1,,NSE,5.0
144,14296,SEQUENT-EQ,SEQUENT,,-1.0,1,,NSE,5.0
145,28906,MAYURUNIQ-EQ,MAYURUNIQ,,-1.0,1,,NSE,5.0
146,14208,TV18BRDCST-EQ,TV18BRDCST,,-1.0,1,,NSE,5.0
149,425,KHADIM-EQ,KHADIM,,-1.0,1,,NSE,5.0
151,9087,PIXTRANS-EQ,PIXTRANS,,-1.0,1,,NSE,5.0
152,5200,GRAUWEIL-EQ,GRAUWEIL,,-1.0,1,,NSE,5.0
155,16249,INFIBEAM-EQ,INFIBEAM,,-1.0,1,,NSE,5.0
157,13300,NITCO-EQ,NITCO,,-1.0,1,,NSE,5.0
159,13310,KEI-EQ,KEI,,-1.0,1,,NSE,5.0
160,17069,UJJIVAN-EQ,UJJIVAN,,-1.0,1,,NSE,5.0
161,12022,AURIONPRO-EQ,AURIONPRO,,-1.0,1,,NSE,5.0
163,15555,HCG-EQ,HCG,,-1.0,1,,NSE,5.0
167,2649,PCBL-EQ,PCBL,,-1.0,1,,NSE,5.0
170,7844,ICICIAUTO-EQ,ICICIAUTO,,-1.0,1,,NSE,1.0
174,21195,GTPL-EQ,GTPL,,-1.0,1,,NSE,5.0
175,15271,CORDSCABLE-EQ,CORDSCABLE,,-1.0,1,,NSE,5.0
177,29553,ICICINIFTY-EQ,ICICINIFTY,,-1.0,1,,NSE,1.0
178,15151,MADHAV-EQ,MADHAV,,-1.0,1,,NSE,5.0
184,2029,IRFC-EQ,IRFC,,-1.0,1,,NSE,5.0
185,1041,FINPIPE-EQ,FINPIPE,,-1.0,1,,NSE,5.0
187,154,APCOTEXIND-EQ,APCOTEXIND,,-1.0,1,,NSE,5.0
193,3509,TNPETRO-EQ,TNPETRO,,-1.0,1,,NSE,5.0
205,1455,HIL-EQ,HIL,,-1.0,1,,NSE,5.0
206,21119,KICL-EQ,KICL,,-1.0,1,,NSE,5.0
207,2018,LUMAXIND-EQ,LUMAXIND,,-1.0,1,,NSE,5.0
208,11262,IGL-EQ,IGL,,-1.0,1,,NSE,5.0
211,2388,NELCO-EQ,NELCO,,-1.0,1,,NSE,5.0
213,6596,SONATSOFTW-EQ,SONATSOFTW,,-1.0,1,,NSE,5.0
240,4041,JAYAGROGN-EQ,JAYAGROGN,,-1.0,1,,NSE,5.0
241,2997,SANGHIIND-EQ,SANGHIIND,,-1.0,1,,NSE,5.0
243,13658,GEECEE-EQ,GEECEE,,-1.0,1,,NSE,5.0
244,14490,NCLIND-EQ,NCLIND,,-1.0,1,,NSE,5.0
257,20080,EROSMEDIA-EQ,EROSMEDIA,,-1.0,1,,NSE,5.0
259,13875,JINDRILL-EQ,JINDRILL,,-1.0,1,,NSE,5.0
262,6051,CYBERTECH-EQ,CYBERTECH,,-1.0,1,,NSE,5.0
264,13592,HOVS-EQ,HOVS,,-1.0,1,,NSE,5.0
265,11915,YESBANK-EQ,YESBANK,,-1.0,1,,NSE,5.0
270,14260,PGIL-EQ,PGIL,,-1.0,1,,NSE,5.0
271,7218,SBIETFQLTY-EQ,SBIETFQLTY,,-1.0,1,,NSE,1.0
278,11872,GRANULES-EQ,GRANULES,,-1.0,1,,NSE,5.0
282,7902,LFIC-EQ,LFIC,,-1.0,1,,NSE,5.0
283,19196,TI-EQ,TI,,-1.0,1,,NSE,5.0
298,5366,WINDLAS-EQ,WINDLAS,,-1.0,1,,NSE,5.0
299,25756,VIKASECO-EQ,VIKASECO,,-1.0,1,,NSE,5.0
301,2979,ORTINLAB-EQ,ORTINLAB,,-1.0,1,,NSE,5.0
307,13251,SAKUMA-EQ,SAKUMA,,-1.0,1,,NSE,5.0
310,27067,VSSL-EQ,VSSL,,-1.0,1,,NSE,5.0
311,29850,GSCLCEMENT-EQ,GSCLCEMENT,,-1.0,1,,NSE,5.0
312,11233,SUVEN-EQ,SUVEN,,-1.0,1,,NSE,5.0
315,11662,BCP-EQ,BCP,,-1.0,1,,NSE,5.0
325,8167,MANYAVAR-EQ,MANYAVAR,,-1.0,1,,NSE,5.0
326,1624,IOC-EQ,IOC,,-1.0,1,,NSE,5.0
332,1901,CUMMINSIND-EQ,CUMMINSIND,,-1.0,1,,NSE,5.0
339,967,SUBEXLTD-EQ,SUBEXLTD,,-1.0,1,,NSE,5.0
343,31507,JPOLYINVST-EQ,JPOLYINVST,,-1.0,1,,NSE,5.0
348,17963,NESTLEIND-EQ,NESTLEIND,,-1.0,1,,NSE,5.0
349,3672,SOLARA-EQ,SOLARA,,-1.0,1,,NSE,5.0
354,419,BEPL-EQ,BEPL,,-1.0,1,,NSE,5.0
358,13275,INDOTECH-EQ,INDOTECH,,-1.0,1,,NSE,5.0
360,1756,JINDALPOLY-EQ,JINDALPOLY,,-1.0,1,,NSE,5.0
361,5292,PRITIKAUTO-EQ,PRITIKAUTO,,-1.0,1,,NSE,5.0
362,19265,BLISSGVS-EQ,BLISSGVS,,-1.0,1,,NSE,5.0
367,2514,OSWALAGRO-EQ,OSWALAGRO,,-1.0,1,,NSE,5.0
382,495,BLUEDART-EQ,BLUEDART,,-1.0,1,,NSE,5.0
385,13920,PLASTIBLEN-EQ,PLASTIBLEN,,-1.0,1,,NSE,5.0
387,17758,SARDAEN-EQ,SARDAEN,,-1.0,1,,NSE,5.0
388,3857,VARROC-EQ,VARROC,,-1.0,1,,NSE,5.0
389,10579,MARKSANS-EQ,MARKSANS,,-1.0,1,,NSE,5.0
393,11483,LT-EQ,LT,,-1.0,1,,NSE,5.0
401,21091,STARCEMENT-EQ,STARCEMENT,,-1.0,1,,NSE,5.0
415,4184,SANGAMIND-EQ,SANGAMIND,,-1.0,1,,NSE,5.0
416,1927,LIQUIDETF-EQ,LIQUIDETF,,-1.0,1,,NSE,1.0
421,11580,WESTLIFE-EQ,WESTLIFE,,-1.0,1,,NSE,5.0
422,17279,BLS-EQ,BLS,,-1.0,1,,NSE,5.0
428,1247,GSFC-EQ,GSFC,,-1.0,1,,NSE,5.0
430,2610,PEARLPOLY-EQ,PEARLPOLY,,-1.0,1,,NSE,5.0
433,31415,NBCC-EQ,NBCC,,-1.0,1,,NSE,5.0
434,739,COROMANDEL-EQ,COROMANDEL,,-1.0,1,,NSE,5.0
438,1076,ZENSARTECH-EQ,ZENSARTECH,,-1.0,1,,NSE,5.0
442,4822,DODLA-EQ,DODLA,,-1.0,1,,NSE,5.0
446,17130,PARAGMILK-EQ,PARAGMILK,,-1.0,1,,NSE,5.0
454,4244,HDFCAMC-EQ,HDFCAMC,,-1.0,1,,NSE,5.0
455,9168,UTISXN50-EQ,UTISXN50,,-1.0,1,,NSE,1.0
457,13409,GPIL-EQ,GPIL,,-1.0,1,,NSE,5.0
465,2306,BESTAGRO-EQ,BESTAGRO,,-1.0,1,,NSE,5.0
468,18783,IDFNIFTYET-EQ,IDFNIFTYET,,-1.0,1,,NSE,1.0
475,20134,RAMKY-EQ,RAMKY,,-1.0,1,,NSE,5.0
480,2783,JUBLINGREA-EQ,JUBLINGREA,,-1.0,1,,NSE,5.0
484,11935,SPLIL-EQ,SPLIL,,-1.0,1,,NSE,5.0
485,3481,THOMASCOOK-EQ,THOMASCOOK,,-1.0,1,,NSE,5.0
487,11591,HDFCNIFETF-EQ,HDFCNIFETF,,-1.0,1,,NSE,1.0
488,15161,HITECHCORP-EQ,HITECHCORP,,-1.0,1,,NSE,5.0
497,3321,SPMLINFRA-EQ,SPMLINFRA,,-1.0,1,,NSE,5.0
498,18118,THANGAMAYL-EQ,THANGAMAYL,,-1.0,1,,NSE,5.0
500,17270,ASPINWALL-EQ,ASPINWALL,,-1.0,1,,NSE,5.0
