,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
3,8777,H1876D46RQ-MF,H1876D46RQ,,-1.0,1,,NSE,1.0
22,13285,M&MFIN-EQ,M&MFIN,,-1.0,1,,NSE,5.0
46,5324,SFMP48DR-MF,SFMP48DR,,-1.0,1,,NSE,1.0
49,18199,FISTIPD3MD-MF,FISTIPD3MD,,-1.0,1,,NSE,1.0
76,25458,UTFIQIPRPI-MF,UTFIQIPRPI,,-1.0,1,,NSE,1.0
87,3163,SFMP42GD-MF,SFMP42GD,,-1.0,1,,NSE,1.0
101,16899,SFMP27GR-MF,SFMP27GR,,-1.0,1,,NSE,1.0
143,29871,UFDS2QPIR5-MF,UFDS2QPIR5,,-1.0,1,,NSE,1.0
256,10055,SFMP6GD-MF,SFMP6GD,,-1.0,1,,NSE,1.0
297,8648,SFMP61GD-MF,SFMP61GD,,-1.0,1,,NSE,1.0
314,17997,PGIMCSR3D-MF,PGIMCSR3D,,-1.0,1,,NSE,1.0
353,3354,SFMP43DD-MF,SFMP43DD,,-1.0,1,,NSE,1.0
365,9084,RSDFSC27GD-MF,RSDFSC27GD,,-1.0,1,,NSE,1.0
370,18170,BPF01MDD-MF,BPF01MDD,,-1.0,1,,NSE,1.0
407,10390,UTIDMP32P1-MF,UTIDMP32P1,,-1.0,1,,NSE,1.0
417,4664,H1846D27RD-MF,H1846D27RD,,-1.0,1,,NSE,1.0
453,4970,H1381D42RD-MF,H1381D42RD,,-1.0,1,,NSE,1.0
460,18175,IF3GPD-MF,IF3GPD,,-1.0,1,,NSE,1.0
471,5980,H1344D43RQ-MF,H1344D43RQ,,-1.0,1,,NSE,1.0
472,24055,UTFIAIPRGI-MF,UTFIAIPRGI,,-1.0,1,,NSE,1.0
486,5459,H1372D42RG-MF,H1372D42RG,,-1.0,1,,NSE,1.0
536,14617,SFMP22GR-MF,SFMP22GR,,-1.0,1,,NSE,1.0
551,30959,UDAIPIGIII-MF,UDAIPIGIII,,-1.0,1,,NSE,1.0
555,4192,MC2RD-MF,MC2RD,,-1.0,1,,NSE,1.0
558,8795,SFMP62GR-MF,SFMP62GR,,-1.0,1,,NSE,1.0
576,21655,M16RD-MF,M16RD,,-1.0,1,,NSE,1.0
592,17554,FIIOF2DPD-MF,FIIOF2DPD,,-1.0,1,,NSE,1.0
594,9510,SCPOFA2GR-MF,SCPOFA2GR,,-1.0,1,,NSE,1.0
609,17679,SFMP28GD-MF,SFMP28GD,,-1.0,1,,NSE,1.0
611,14878,SFMP24GR-MF,SFMP24GR,,-1.0,1,,NSE,1.0
640,4971,H1381D42RG-MF,H1381D42RG,,-1.0,1,,NSE,1.0
657,2697,EC2DG-MF,EC2DG,,-1.0,1,,NSE,1.0
660,14025,SFMP21DR-MF,SFMP21DR,,-1.0,1,,NSE,1.0
667,18161,BPF02RMD-MF,BPF02RMD,,-1.0,1,,NSE,1.0
675,8776,H1876D46RD-MF,H1876D46RD,,-1.0,1,,NSE,1.0
677,8442,H1861D46DD-MF,H1861D46DD,,-1.0,1,,NSE,1.0
679,3358,SFMP43GD-MF,SFMP43GD,,-1.0,1,,NSE,1.0
684,29755,UTFDQIPIPI-MF,UTFDQIPIPI,,-1.0,1,,NSE,1.0
692,2696,EC2DD-MF,EC2DD,,-1.0,1,,NSE,1.0
694,17680,SFMP28GR-MF,SFMP28GR,,-1.0,1,,NSE,1.0
707,8651,SFMP61GR-MF,SFMP61GR,,-1.0,1,,NSE,1.0
720,5388,MFL-BL,MFL,,-1.0,1,,NSE,5.0
729,4652,H1487D42RG-MF,H1487D42RG,,-1.0,1,,NSE,1.0
735,10389,UTIDGR32P1-MF,UTIDGR32P1,,-1.0,1,,NSE,1.0
745,21654,M16DG-MF,M16DG,,-1.0,1,,NSE,1.0
751,14876,SFMP24DR-MF,SFMP24DR,,-1.0,1,,NSE,1.0
753,17677,SFMP28DD-MF,SFMP28DD,,-1.0,1,,NSE,1.0
758,23016,NMFINQRDP1-MF,NMFINQRDP1,,-1.0,1,,NSE,1.0
771,20046,M&MFIN-N1,M&MFIN,,-1.0,1,,NSE,1.0
785,5498,SFMP49DR-MF,SFMP49DR,,-1.0,1,,NSE,1.0
796,11020,UTIRMP32P2-MF,UTIRMP32P2,,-1.0,1,,NSE,1.0
824,17678,SFMP28DR-MF,SFMP28DR,,-1.0,1,,NSE,1.0
835,14145,SFMP21GD-MF,SFMP21GD,,-1.0,1,,NSE,1.0
839,18006,BPF02D2G-MF,BPF02D2G,,-1.0,1,,NSE,1.0
865,17497,FICRF2DPD-MF,FICRF2DPD,,-1.0,1,,NSE,1.0
912,17979,UTIDMP33P1-MF,UTIDMP33P1,,-1.0,1,,NSE,1.0
917,10052,SFMP6DR-MF,SFMP6DR,,-1.0,1,,NSE,1.0
952,4191,MC2DG-MF,MC2DG,,-1.0,1,,NSE,1.0
953,17978,UTIDGR33P1-MF,UTIDGR33P1,,-1.0,1,,NSE,1.0
959,18160,BPF02RGG-MF,BPF02RGG,,-1.0,1,,NSE,1.0
995,9903,F140D-MF,F140D,,-1.0,1,,NSE,1.0
1003,30426,UTFDAIPIPI-MF,UTFDAIPIPI,,-1.0,1,,NSE,1.0
1045,18162,BPF02RMR-MF,BPF02RMR,,-1.0,1,,NSE,1.0
1061,4968,H1381D42DQ-MF,H1381D42DQ,,-1.0,1,,NSE,1.0
1077,8677,ABSLFTTQRG-MF,ABSLFTTQRG,,-1.0,1,,NSE,1.0
1141,25460,UTFIQIPRRI-MF,UTFIQIPRRI,,-1.0,1,,NSE,1.0
1153,10404,UTIRMP32P1-MF,UTIRMP32P1,,-1.0,1,,NSE,1.0
1156,5320,EC7RD-MF,EC7RD,,-1.0,1,,NSE,1.0
1159,18388,FISTIPIP3G-MF,FISTIPIP3G,,-1.0,1,,NSE,1.0
1188,13844,MMFL-EQ,MMFL,,-1.0,1,,NSE,5.0
1189,10767,SFMP10GR-MF,SFMP10GR,,-1.0,1,,NSE,1.0
1235,18093,BPF02IQR-MF,BPF02IQR,,-1.0,1,,NSE,1.0
1249,13639,JMFINANCIL-BL,JMFINANCIL,,-1.0,1,,NSE,5.0
1263,5593,SFMP50DR-MF,SFMP50DR,,-1.0,1,,NSE,1.0
1285,2235,H3360D30RD-MF,H3360D30RD,,-1.0,1,,NSE,1.0
1302,18180,FICRFD3DPD-MF,FICRFD3DPD,,-1.0,1,,NSE,1.0
1305,19238,IMFA-BL,IMFA,,-1.0,1,,NSE,5.0
1309,9883,SFMP2DR-MF,SFMP2DR,,-1.0,1,,NSE,1.0
1311,22853,BSLIQPIRG-MF,BSLIQPIRG,,-1.0,1,,NSE,1.0
1335,13842,MMFL-BL,MMFL,,-1.0,1,,NSE,5.0
1339,4096,IPRU2406-MF,IPRU2406,,-1.0,1,,NSE,1.0
1340,18007,BPF02D3D-MF,BPF02D3D,,-1.0,1,,NSE,1.0
1367,18166,BPF01D2G-MF,BPF01D2G,,-1.0,1,,NSE,1.0
1383,4972,ABSLFTTIRN-MF,ABSLFTTIRN,,-1.0,1,,NSE,1.0
1430,3339,SUNDARMFIN-EQ,SUNDARMFIN,,-1.0,1,,NSE,5.0
1431,17557,MI2QP-MF,MI2QP,,-1.0,1,,NSE,1.0
1433,8678,ABSLFTTQRN-MF,ABSLFTTQRN,,-1.0,1,,NSE,1.0
1436,3065,EC3RD-MF,EC3RD,,-1.0,1,,NSE,1.0
1438,10089,SFMP7DR-MF,SFMP7DR,,-1.0,1,,NSE,1.0
1538,25311,UFIQIPRPVI-MF,UFIQIPRPVI,,-1.0,1,,NSE,1.0
1541,10088,SFMP7DD-MF,SFMP7DD,,-1.0,1,,NSE,1.0
1543,5319,SFMP48DD-MF,SFMP48DD,,-1.0,1,,NSE,1.0
1545,17984,UTIRQP33P1-MF,UTIRQP33P1,,-1.0,1,,NSE,1.0
1556,3059,EC3DD-MF,EC3DD,,-1.0,1,,NSE,1.0
1572,4695,EC6RG-MF,EC6RG,,-1.0,1,,NSE,1.0
1576,17583,FISTP2MDPD-MF,FISTP2MDPD,,-1.0,1,,NSE,1.0
1598,18183,FISTIP3MDP-MF,FISTIP3MDP,,-1.0,1,,NSE,1.0
1605,5973,H1344D43DD-MF,H1344D43DD,,-1.0,1,,NSE,1.0
1611,7981,MAMFGETF-BL,MAMFGETF,,-1.0,1,,NSE,1.0
1628,17499,IF2DP-MF,IF2DP,,-1.0,1,,NSE,1.0
1644,9098,RSDFSC28GR-MF,RSDFSC28GR,,-1.0,1,,NSE,1.0
1649,17993,PGIMCSA3D-MF,PGIMCSA3D,,-1.0,1,,NSE,1.0
1658,3105,SFMP41DD-MF,SFMP41DD,,-1.0,1,,NSE,1.0
1680,8794,SFMP62GD-MF,SFMP62GD,,-1.0,1,,NSE,1.0
1691,10091,SFMP7GR-MF,SFMP7GR,,-1.0,1,,NSE,1.0
1692,3611,IMFFM31DRG-MF,IMFFM31DRG,,-1.0,1,,NSE,1.0
1695,15225,SFMP26DR-MF,SFMP26DR,,-1.0,1,,NSE,1.0
1706,18009,BPF02D4D-MF,BPF02D4D,,-1.0,1,,NSE,1.0
1707,18174,IF3DPD-MF,IF3DPD,,-1.0,1,,NSE,1.0
1710,8791,SFMP62DD-MF,SFMP62DD,,-1.0,1,,NSE,1.0
1718,10766,SFMP10GD-MF,SFMP10GD,,-1.0,1,,NSE,1.0
1733,14997,SFMP25DD-MF,SFMP25DD,,-1.0,1,,NSE,1.0
1735,17998,PGIMCSR4D-MF,PGIMCSR4D,,-1.0,1,,NSE,1.0
1737,10731,SFMP10DD-MF,SFMP10DD,,-1.0,1,,NSE,1.0
1764,8541,H1162D46DG-MF,H1162D46DG,,-1.0,1,,NSE,1.0
1769,2240,H3360D30RG-MF,H3360D30RG,,-1.0,1,,NSE,1.0
1781,4985,H1381D42RQ-MF,H1381D42RQ,,-1.0,1,,NSE,1.0
1810,9096,RSDFSC28DD-MF,RSDFSC28DD,,-1.0,1,,NSE,1.0
1814,19271,DFMFOODS-EQ,DFMFOODS,,-1.0,1,,NSE,5.0
1820,4966,H1381D42DG-MF,H1381D42DG,,-1.0,1,,NSE,1.0
1839,9937,IBMFNIFTY-EQ,IBMFNIFTY,,-1.0,1,,NSE,1.0
1873,5978,H1344D43RD-MF,H1344D43RD,,-1.0,1,,NSE,1.0
1879,29556,BSLIFQPIDG-MF,BSLIFQPIDG,,-1.0,1,,NSE,1.0
